Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
193,Sun Feb 18 2018 16:58:30 GMT-0600,81.63,27.99,0.67,1,21.7,39.8
194,Sun Feb 18 2018 16:58:31 GMT-0600,82,27.57,0.67,1,21.7,39.8
195,Sun Feb 18 2018 16:58:32 GMT-0600,82,27.25,0.67,1,21.7,39.9
196,Sun Feb 18 2018 16:58:33 GMT-0600,81.63,28.4,0.67,1,21.7,39.9
197,Sun Feb 18 2018 16:58:34 GMT-0600,81.05,27.13,0.67,1,21.7,39.8
198,Sun Feb 18 2018 16:58:35 GMT-0600,80.67,28.19,0.67,1,21.7,39.7
199,Sun Feb 18 2018 16:58:36 GMT-0600,81.41,27.25,0.66,1,21.7,39.7
200,Sun Feb 18 2018 16:58:37 GMT-0600,79.93,27.45,0.67,1,21.7,39.7
201,Sun Feb 18 2018 16:58:38 GMT-0600,81.05,27.45,0.67,1,21.7,39.6
202,Sun Feb 18 2018 16:58:39 GMT-0600,80.08,27.13,0.67,1,21.7,39.6
203,Sun Feb 18 2018 16:58:40 GMT-0600,81.41,27.13,0.67,1,21.7,39.6
204,Sun Feb 18 2018 16:58:41 GMT-0600,80.46,27.78,0.67,1,21.7,39.6
205,Sun Feb 18 2018 16:58:42 GMT-0600,80.83,27.57,0.67,1,21.7,39.5
206,Sun Feb 18 2018 16:58:43 GMT-0600,80.67,26.15,0.67,1,21.7,39.6
207,Sun Feb 18 2018 16:58:44 GMT-0600,82,27.45,0.67,1,21.7,39.6
208,Sun Feb 18 2018 16:58:45 GMT-0600,78.69,27.99,0.67,1,21.7,39.6
209,Sun Feb 18 2018 16:58:46 GMT-0600,81.41,27.45,0.67,1,21.7,39.7
210,Sun Feb 18 2018 16:58:47 GMT-0600,81.41,27.33,0.66,1,21.7,39.7
211,Sun Feb 18 2018 16:58:48 GMT-0600,80.67,27.78,0.67,1,21.7,39.7
212,Sun Feb 18 2018 16:58:49 GMT-0600,80.46,27.45,0.67,1,21.7,39.7
213,Sun Feb 18 2018 16:58:50 GMT-0600,79.56,28.1,0.66,1,21.7,39.6
214,Sun Feb 18 2018 16:58:51 GMT-0600,81.27,27.45,0.67,1,21.7,39.5
215,Sun Feb 18 2018 16:58:52 GMT-0600,82,27.04,0.66,1,21.7,39.5
216,Sun Feb 18 2018 16:58:53 GMT-0600,80.46,27.13,0.67,1,21.7,39.5
217,Sun Feb 18 2018 16:58:54 GMT-0600,81.05,26.59,0.67,1,21.7,39.5
218,Sun Feb 18 2018 16:58:55 GMT-0600,81.41,27.99,0.67,1,21.7,39.5
219,Sun Feb 18 2018 16:58:56 GMT-0600,80.67,27.13,0.66,1,21.7,39.5
220,Sun Feb 18 2018 16:58:57 GMT-0600,81.41,27.78,0.66,1,21.7,39.4
221,Sun Feb 18 2018 16:58:58 GMT-0600,81.63,27.78,0.67,1,21.7,39.3
222,Sun Feb 18 2018 16:58:59 GMT-0600,81.05,27.13,0.67,1,21.7,39.3
223,Sun Feb 18 2018 16:59:00 GMT-0600,82,27.57,0.67,1,21.7,39.2
224,Sun Feb 18 2018 16:59:01 GMT-0600,80.83,27.87,0.67,1,21.7,39.2
225,Sun Feb 18 2018 16:59:02 GMT-0600,81.05,26.42,0.67,1,21.7,39.1
226,Sun Feb 18 2018 16:59:03 GMT-0600,81.63,25.94,0.67,1,21.7,39
227,Sun Feb 18 2018 16:59:04 GMT-0600,84.34,27.66,0.67,1,21.7,39
228,Sun Feb 18 2018 16:59:05 GMT-0600,80.24,27.45,0.67,1,21.7,38.9
229,Sun Feb 18 2018 16:59:06 GMT-0600,80.83,27.25,0.67,1,21.7,39
230,Sun Feb 18 2018 16:59:07 GMT-0600,81.79,27.57,0.67,1,21.7,39.1
231,Sun Feb 18 2018 16:59:08 GMT-0600,81.63,27.57,0.67,1,21.7,39.2
232,Sun Feb 18 2018 16:59:09 GMT-0600,82.16,27.66,0.67,1,21.7,39.1
233,Sun Feb 18 2018 16:59:11 GMT-0600,81.05,27.45,0.67,1,21.7,39.2
